"System Time Index";"BVP Data"
"1530209354164";"8.0"
"1530209354164";"10.0"
"1530209354164";"11.0"
"1530209354184";"13.0"
"1530209354185";"14.0"
"1530209354185";"16.0"
"1530209354185";"17.0"
"1530209354185";"18.0"
"1530209354185";"20.0"
"1530209354205";"21.0"
"1530209354206";"22.0"
"1530209354206";"24.0"
"1530209354206";"25.0"
"1530209354206";"26.0"
"1530209354249";"27.0"
"1530209354312";"28.0"
"1530209354333";"27.0"
"1530209354333";"26.0"
"1530209354354";"25.0"
"1530209354356";"23.0"
"1530209354356";"22.0"
"1530209354377";"21.0"
"1530209354377";"20.0"
"1530209354377";"18.0"
"1530209354377";"17.0"
"1530209354377";"16.0"
"1530209354377";"15.0"
"1530209354377";"14.0"
"1530209354378";"13.0"
"1530209354378";"12.0"
"1530209354398";"11.0"
"1530209354398";"10.0"
"1530209354398";"9.0"
"1530209354398";"8.0"
"1530209354399";"7.0"
"1530209354419";"6.0"
"1530209354421";"5.0"
"1530209354462";"6.0"
"1530209354463";"7.0"
"1530209354463";"8.0"
"1530209354484";"7.0"
"1530209354505";"6.0"
"1530209354505";"5.0"
"1530209354505";"4.0"
"1530209354526";"3.0"
"1530209354526";"2.0"
"1530209354526";"1.0"
"1530209354526";"0.0"
"1530209354527";"-1.0"
"1530209354547";"-2.0"
"1530209354547";"-3.0"
"1530209354547";"-4.0"
"1530209354568";"-5.0"
"1530209354568";"-6.0"
"1530209354568";"-7.0"
"1530209354589";"-8.0"
"1530209354589";"-9.0"
"1530209354590";"-10.0"
"1530209354610";"-11.0"
"1530209354633";"-12.0"
"1530209354654";"-13.0"
"1530209354697";"-14.0"
"1530209354718";"-15.0"
"1530209354718";"-16.0"
"1530209354718";"-17.0"
"1530209354739";"-18.0"
"1530209354739";"-19.0"
"1530209354739";"-20.0"
"1530209354739";"-21.0"
"1530209354739";"-22.0"
"1530209354739";"-23.0"
"1530209354739";"-24.0"
"1530209354739";"-25.0"
"1530209354739";"-26.0"
"1530209354761";"-27.0"
"1530209354761";"-28.0"
"1530209354761";"-29.0"
"1530209354761";"-30.0"
"1530209354762";"-31.0"
"1530209354762";"-32.0"
"1530209354782";"-33.0"
"1530209354783";"-34.0"
"1530209354783";"-35.0"
"1530209354848";"-34.0"
"1530209354848";"-33.0"
"1530209354849";"-32.0"
"1530209354849";"-31.0"
"1530209354869";"-30.0"
"1530209354870";"-29.0"
"1530209354870";"-28.0"
"1530209354870";"-27.0"
"1530209354890";"-26.0"
"1530209354891";"-25.0"
"1530209354891";"-24.0"
"1530209354891";"-23.0"
"1530209354891";"-22.0"
"1530209354912";"-21.0"
"1530209354912";"-20.0"
"1530209354912";"-19.0"
"1530209354912";"-18.0"
"1530209354912";"-17.0"
